Structure,Cohen_d,n_patients,n_controls,population_size,hemisphere,NAVR,NAVR_II,NAVR_corrected,NAVR_corrected_II,correction,population_size_livingpark,Cohen_d_thresholded
L_bankssts,0.01,733,539,1272,lh,0.1679100593637136,1.013998909287148,0.00941592856831127,0.0839191468362422,0.0827605888602368,584,0.01
L_caudalanteriorcingulate,-0.11,733,539,1272,lh,0.2181119375336781,1.0235100474810666,0.012231110104395008,0.0847062942339019,0.0827605888602368,584,-0.11
L_caudalmiddlefrontal,-0.02,733,539,1272,lh,0.1753441914871878,1.0152564136651865,0.009832813996779821,0.0840232186390629,0.0827605888602368,584,-0.02
L_cuneus,0.11,733,539,1272,lh,0.2145175843375185,1.0227501131703698,0.012029548785957203,0.0846434016228536,0.0827605888602368,584,0.11
L_entorhinal,-0.06,733,539,1272,lh,0.347724072261647,1.058731330617085,0.019499397703182146,0.087621228366652,0.0827605888602368,584,-0.06
L_fusiform,-0.01,733,539,1272,lh,0.2199788565103603,1.0239095161739662,0.012335801722001948,0.0847393544981575,0.0827605888602368,584,
L_inferiorparietal,0.08,733,539,1272,lh,0.1388691826870925,1.0095962806489438,0.007787397071244249,0.0835547826976114,0.0827605888602368,584,0.08
L_inferiortemporal,0.0,733,539,1272,lh,0.1931727905328623,1.01848697929932,0.010832592185908445,0.0842905821532955,0.0827605888602368,584,
L_isthmuscingulate,0.04,733,539,1272,lh,0.2212486498239776,1.024183072037872,0.012407008195174832,0.0847619941425406,0.0827605888602368,584,0.04
L_lateraloccipital,0.14,733,539,1272,lh,0.1493056868036902,1.0110846592209386,0.008372647160709746,0.0836779617846767,0.0827605888602368,584,0.14
L_lateralorbitofrontal,0.03,733,539,1272,lh,0.2368625051545744,1.0276691327212766,0.013282589723916865,0.0850505025775016,0.0827605888602368,584,0.03
L_lingual,0.11,733,539,1272,lh,0.2498141822812938,1.0307313547519894,0.014008883712062374,0.0853039338759842,0.0827605888602368,584,0.11
L_medialorbitofrontal,-0.08,733,539,1272,lh,0.2972194770645651,1.043235073004418,0.016667240639160714,0.0863387489614977,0.0827605888602368,584,-0.08
L_middletemporal,0.02,733,539,1272,lh,0.1664019105650013,1.0137502630528303,0.009331355783256749,0.0838985687274721,0.0827605888602368,584,0.02
L_parahippocampal,0.1,733,539,1272,lh,0.1419923979078971,1.0100306139239714,0.007962538283950615,0.0835907283752143,0.0827605888602368,584,0.1
L_paracentral,-0.01,733,539,1272,lh,0.2087907284844583,1.0215642751687584,0.011708402656667683,0.0845452609715474,0.0827605888602368,584,
L_parsopercularis,-0.01,733,539,1272,lh,0.1700048874171607,1.014347899759112,0.009533400692309669,0.0839480294932085,0.0827605888602368,584,-0.01
L_parsorbitalis,-0.01,733,539,1272,lh,0.2585720930571187,1.0328889230250944,0.0145000029611729,0.0854824954967726,0.0827605888602368,584,
L_parstriangularis,-0.03,733,539,1272,lh,0.1947534591914286,1.0187879611906627,0.010921231682765448,0.0843154915918593,0.0827605888602368,584,-0.03
L_pericalcarine,0.04,733,539,1272,lh,0.2573619043092968,1.0325866306464109,0.014432138946075495,0.0854574776015048,0.0827605888602368,584,0.04
L_postcentral,0.05,733,539,1272,lh,0.1993295859291462,1.0196726356172774,0.011177848127576257,0.0843887077683555,0.0827605888602368,584,0.05
L_posteriorcingulate,-0.11,733,539,1272,lh,0.2107243510940018,1.0219612282978197,0.011816834828263163,0.0845781130462584,0.0827605888602368,584,-0.11
L_precentral,-0.06,733,539,1272,lh,0.1934859788469978,1.0185464270274482,0.010850154914463868,0.0842955020822818,0.0827605888602368,584,-0.06
L_precuneus,0.04,733,539,1272,lh,0.1266028694300775,1.0079822848383444,0.0070995363804538395,0.0834212074539083,0.0827605888602368,584,0.04
L_rostralanteriorcingulate,-0.09,733,539,1272,lh,0.283732439618703,1.0394729901695288,0.015910925135077098,0.0860273967707413,0.0827605888602368,584,-0.09
L_rostralmiddlefrontal,0.03,733,539,1272,lh,0.1904458556017539,1.017973292339187,0.010679673268369796,0.0842480691179851,0.0827605888602368,584,0.03
L_superiorfrontal,-0.04,733,539,1272,lh,0.132671725682411,1.0087625026712428,0.007439860939803442,0.0834857787411982,0.0827605888602368,584,-0.04
L_superiorparietal,0.1,733,539,1272,lh,0.1101292843519363,1.0060459528629244,0.006175743601465058,0.0832609554793936,0.0827605888602368,584,0.1
L_superiortemporal,0.04,733,539,1272,lh,0.1260174974969587,1.0079089292567045,0.007066710352465834,0.0834151365027756,0.0827605888602368,584,0.04
L_supramarginal,0.02,733,539,1272,lh,0.1406715982860254,1.009845779594263,0.00788847151904252,0.0835754313772461,0.0827605888602368,584,0.02
L_frontalpole,0.08,733,539,1272,lh,0.3407844666065796,1.0564724571328543,0.019110243942008,0.0874342826669363,0.0827605888602368,584,0.08
L_temporalpole,-0.02,733,539,1272,lh,0.3656352824157033,1.0647484020871838,0.020503808493230694,0.0881192047447315,0.0827605888602368,584,
L_transversetemporal,-0.02,733,539,1272,lh,0.1956680130206627,1.018963184476973,0.01097251731485072,0.0843299931742164,0.0827605888602368,584,-0.02
L_insula,-0.01,733,539,1272,lh,0.2981904866965747,1.0435121304308543,0.01672169215545933,0.0863616783972577,0.0827605888602368,584,
R_bankssts,0.01,733,539,1272,rh,0.1534593994993605,1.0117063740506451,0.008605575802292797,0.0837294152700864,0.0827605888602368,584,0.01
R_caudalanteriorcingulate,-0.11,733,539,1272,rh,0.2345456463717201,1.0271376053051158,0.013152666734878036,0.0850065130555448,0.0827605888602368,584,-0.11
R_caudalmiddlefrontal,-0.02,733,539,1272,rh,0.1700381669057965,1.014353477937885,0.009535266913362608,0.0839484911465685,0.0827605888602368,584,-0.02
R_cuneus,0.11,733,539,1272,rh,0.2110250670946185,1.0220232771039457,0.011833698144206739,0.0845832482419915,0.0827605888602368,584,0.11
R_entorhinal,-0.06,733,539,1272,rh,0.3352087278490374,1.054687105840481,0.018797572038635853,0.0872865259426571,0.0827605888602368,584,-0.06
R_fusiform,-0.01,733,539,1272,rh,0.2034578796835348,1.0204876818488893,0.01140935134571358,0.084456161474432,0.0827605888602368,584,
R_inferiorparietal,0.08,733,539,1272,rh,0.1402146441904612,1.0097822272378625,0.007862846805793447,0.0835701717468069,0.0827605888602368,584,0.08
R_inferiortemporal,0.0,733,539,1272,rh,0.1804525516817452,1.0161511321690553,0.010119276611797822,0.0840972660693073,0.0827605888602368,584,
R_isthmuscingulate,0.04,733,539,1272,rh,0.2184653938129115,1.0235854279413277,0.012250930948303316,0.0847125327651817,0.0827605888602368,584,0.04
R_lateraloccipital,0.14,733,539,1272,rh,0.1526839267879651,1.0115890378505457,0.00856208945201192,0.0837197044570715,0.0827605888602368,584,0.14
R_lateralorbitofrontal,0.03,733,539,1272,rh,0.2955741158849632,1.04276749948451,0.016574973365866233,0.0863000523016547,0.0827605888602368,584,0.03
R_lingual,0.11,733,539,1272,rh,0.2610434941592119,1.033510380133093,0.014638592253137525,0.0855339276529819,0.0827605888602368,584,0.11
R_medialorbitofrontal,-0.08,733,539,1272,rh,0.2374629973130645,1.0278077033632822,0.013316263652040052,0.0850619707654328,0.0827605888602368,584,-0.08
R_middletemporal,0.02,733,539,1272,rh,0.1421137530783172,1.010047681455685,0.007969343543983282,0.0835921408941893,0.0827605888602368,584,0.02
R_parahippocampal,0.1,733,539,1272,rh,0.1475454646038709,1.0108262284513456,0.008273938801242418,0.0836565739020056,0.0827605888602368,584,0.1
R_paracentral,-0.01,733,539,1272,rh,0.1965077196420784,1.0191247636471843,0.011019605723940383,0.0843433655614906,0.0827605888602368,584,
R_parsopercularis,-0.01,733,539,1272,rh,0.1842800518819023,1.0168378127910058,0.010333912165000804,0.0841540961619388,0.0827605888602368,584,
R_parsorbitalis,-0.01,733,539,1272,rh,0.2583572701375833,1.032835165470727,0.014487956290039279,0.0854780464899174,0.0827605888602368,584,
R_parstriangularis,-0.03,733,539,1272,rh,0.2348309682032626,1.0272027957649268,0.013168666788686395,0.0850119082563869,0.0827605888602368,584,-0.03
R_pericalcarine,0.04,733,539,1272,rh,0.2823649468492684,1.0391005549075556,0.015834239948474983,0.0859965738091481,0.0827605888602368,584,0.04
R_postcentral,0.05,733,539,1272,rh,0.1919447953904879,1.0182547836752334,0.01076372963778806,0.0842713655067153,0.0827605888602368,584,0.05
R_posteriorcingulate,-0.11,733,539,1272,rh,0.229542991757253,1.0260068153111217,0.012872131794444715,0.0849129282097646,0.0827605888602368,584,-0.11
R_precentral,-0.06,733,539,1272,rh,0.203213697138652,1.0204390264512426,0.011395658268545019,0.0844521347250715,0.0827605888602368,584,-0.06
R_precuneus,0.04,733,539,1272,rh,0.1368537324431657,1.0093210312302154,0.007674376233769033,0.083532002893634,0.0827605888602368,584,0.04
R_rostralanteriorcingulate,-0.09,733,539,1272,rh,0.2607243987946873,1.033429829319268,0.014620698273645,0.0855272612201966,0.0827605888602368,584,-0.09
R_rostralmiddlefrontal,0.03,733,539,1272,rh,0.192271968463831,1.0183165077012926,0.010782076592698012,0.0842764738234588,0.0827605888602368,584,0.03
R_superiorfrontal,-0.04,733,539,1272,rh,0.1426994383762407,1.0101302538350658,0.008002187144596943,0.0835989746329305,0.0827605888602368,584,-0.04
R_superiorparietal,0.1,733,539,1272,rh,0.1081804550791144,1.0058344848239815,0.006066458682537262,0.0832434542599656,0.0827605888602368,584,0.1
R_superiortemporal,0.04,733,539,1272,rh,0.1130545562343416,1.006370375500662,0.00633978470294519,0.0832878048879324,0.0827605888602368,584,0.04
R_supramarginal,0.02,733,539,1272,rh,0.1349963545396925,1.0090708675504445,0.007570219652979669,0.0835112992001847,0.0827605888602368,584,0.02
R_frontalpole,0.08,733,539,1272,rh,0.3308039802832321,1.0532954349902164,0.018550566060565023,0.0871713504435895,0.0827605888602368,584,0.08
R_temporalpole,-0.02,733,539,1272,rh,0.3205953854095554,1.0501339919962125,0.017978096486808554,0.0869097075597577,0.0827605888602368,584,-0.02
R_transversetemporal,-0.02,733,539,1272,rh,0.1930159768564547,1.018457248647115,0.010823798511597427,0.0842881216270118,0.0827605888602368,584,-0.02
R_insula,-0.01,733,539,1272,rh,0.3167477759911346,1.0489657542528878,0.017762333264641286,0.0868130235161914,0.0827605888602368,584,
